시리얼,위도,경도
V02Q1940600,37.52444602,126.9568426
V02Q1940599,37.55740456,127.0166075
V02Q1940598,37.55172798,127.012144
V02Q1940597,37.55619503,126.9811609
V02Q1940596,37.55904631,126.9803118
V02Q1940595,37.53439873,126.95138
V02Q1940594,37.54923179,127.0538775
V02Q1940593,37.54694234,126.9302491
V02Q1940592,37.5705585,126.959673
V02Q1940591,37.47891044,126.9492525
V02Q1940590,37.56072357,127.0484251
V02Q1940589,37.47647508,126.9364676
V02Q1940588,37.55818867,127.0508266
V02Q1940587,37.54667133,127.0621397
V02Q1940586,37.55287788,126.9009012
V02Q1940585,37.55882313,126.946573
V02Q1940584,37.54995512,126.9780201
V02Q1940583,37.54520551,126.9233909
V02Q1940582,37.54889736,127.0309606
V02Q1940581,37.56142506,126.9016199
V02Q1940580,37.56672984,127.0510584
V02Q1940579,37.55962932,126.8976687
V02Q1940578,37.52637263,127.0028846
V02Q1940577,37.52364288,126.993654
V02Q1940576,37.57717666,126.896669
V02Q1940575,37.55582287,127.0323182
V02Q1940574,37.53718194,126.9656951
V02Q1940573,37.56839081,127.0054393
V02Q1940572,37.52111797,126.9717905
V02Q1940571,37.54650411,126.9752365
V02Q1940570,37.55435867,127.0080426
V02Q1940569,37.56942137,126.9167554
V02Q1940568,37.56285073,127.0132604
V02Q1940567,37.56805562,126.9965099
V02Q1940566,37.56723424,126.995185
V02Q1940565,37.54195012,127.0536124
V02Q1940564,37.56085957,127.0085631
V02Q1940563,37.56412983,127.0314397
V02Q1940562,37.56554217,126.9910351
V02Q1940561,37.48519319,126.918737
V02Q1940560,37.49247703,126.9563107
V02Q1940559,37.53293663,126.9912199
V02Q1940558,37.47970435,126.9474737
V02Q1940557,37.46927712,126.9316363
V02Q1940556,37.54024156,127.0546753
V02Q1940555,37.48547764,126.9474934
V02Q1940554,37.55728601,127.0091753
V02Q1940553,37.56082689,126.996001
V02Q1940552,37.47639433,126.9156696
V02Q1940551,37.56877486,126.9608834
V02Q1940550,37.48634806,126.9514941
V02Q1940549,37.47563756,126.9221587
V02Q1940548,37.49124583,126.930777
V02Q1940547,37.47779149,126.9552974
V02Q1940546,37.56444847,127.0221103
V02Q1940545,37.5463061,127.0436415
V02Q1940544,37.56163971,127.001153
V02Q1940543,37.59010207,126.9446623
V02Q1940542,37.53539263,126.9444368
V02Q1940541,37.56276898,126.9767645
V02Q1940540,37.56531098,126.9844918
V02Q1940539,37.57692043,127.0045137
V02Q1940538,37.48627768,126.936066
V02Q1940537,37.47564681,126.952494
V02Q1940536,37.56356092,126.9972196
V02Q1940535,37.55049329,126.9362759
V02Q1940534,37.55572217,126.9402897
V02Q1940533,37.48305759,126.9079688
V02Q1940532,37.47072788,126.9217951
V02Q1940531,37.55488942,126.9362371
V02Q1940530,37.54214419,127.0477518
V02Q1940529,37.5594009,127.0204385
V02Q1940528,37.55530763,126.9470009
V02Q1940527,37.56898584,127.0218832
V02Q1940526,37.54698492,127.0215794
V02Q1940525,37.54226566,126.9607602
V02Q1940524,37.55435463,126.9681312
V02Q1940523,37.52568799,126.9992422
V02Q1940522,37.57707481,127.0123665
V02Q1940521,37.5487627,126.925523
V02Q1940520,37.57822552,126.9232322
V02Q1940519,37.54719218,126.9344074
V02Q1940518,37.51508377,127.0138565
V02Q1940517,37.48248622,126.9264971
V02Q1940516,37.56506052,126.9543342
V02Q1940515,37.50174862,126.8507697
V02Q1940514,37.59197867,126.9517166
V02Q1940513,37.49417976,127.1549914
V02Q1940512,37.47556168,126.9348911
V02Q1940511,37.55265508,127.0290322
V02Q1940510,37.49267131,126.9452685
V02Q1940509,37.58674357,126.9473291
V02Q1940508,37.55818846,126.9643308
V02Q1940507,37.53127747,127.1232713
V02Q1940506,37.53508967,127.0932207
V02Q1940505,37.51723048,127.1438239
V02Q1940504,37.55905889,127.0289608
V02Q1940503,37.55401067,127.0688982
V02Q1940502,37.54081481,127.049564
V02Q1940501,37.55200342,127.0363244
V02Q1940500,37.56155266,127.0187487
V02Q1940499,37.57496003,126.9702723
V02Q1940498,37.56078213,126.9955455
